analise,min_support,total_transacoes,total_itens_diferentes,itemsets_frequentes,regras_apos_filtros,status
REGRAS GERAIS,0.05,14626,166,75,11,regras_encontradas
REGRAS EM TRANSAÇÕES COM FATOR,0.03,2220,218,803,617,regras_encontradas
