support,itemsets
0.0631,Faixa_horaria:NOITE + UF:SP
0.0514,Faixa_horaria:TARDE + Fase_operacao:CORRIDA APÓS POUSO
0.0667,Faixa_horaria:TARDE + Fase_operacao:CRUZEIRO
0.0824,Faixa_horaria:TARDE + Fase_operacao:DECOLAGEM
0.0351,Faixa_horaria:TARDE + Fase_operacao:MANOBRA
0.0883,Faixa_horaria:TARDE + Fase_operacao:POUSO
0.1802,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS
0.0468,Faixa_horaria:TARDE + Fator:ATENÇÃO
0.1027,Faixa_horaria:TARDE + Fator:ATITUDE
0.0396,Faixa_horaria:TARDE + Fator:CAPACITAÇÃO E TREINAMENTO
0.0500,Faixa_horaria:TARDE + Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS
0.0419,Faixa_horaria:TARDE + Fator:COORDENAÇÃO DE CABINE
0.0446,Faixa_horaria:TARDE + Fator:INDISCIPLINA DE VOO
0.0532,Faixa_horaria:TARDE + Fator:INSTRUÇÃO
0.2437,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM
0.1207,Faixa_horaria:TARDE + Fator:MANUTENÇÃO DA AERONAVE
0.0392,Faixa_horaria:TARDE + Fator:OUTRO FATOR
0.0689,Faixa_horaria:TARDE + Fator:PERCEPÇÃO
0.1329,Faixa_horaria:TARDE + Fator:PLANEJAMENTO DE VOO
0.0802,Faixa_horaria:TARDE + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.1036,Faixa_horaria:TARDE + Fator:PROCESSO DECISÓRIO
0.0324,Faixa_horaria:TARDE + Fator:PROCESSOS ORGANIZACIONAIS
0.0306,Faixa_horaria:TARDE + Fator:SISTEMAS DE APOIO
0.1401,Faixa_horaria:TARDE + Fator:SUPERVISÃO GERENCIAL
0.0392,Faixa_horaria:TARDE + Mes:ABRIL
0.0369,Faixa_horaria:TARDE + Mes:AGOSTO
0.0387,Faixa_horaria:TARDE + Mes:DEZEMBRO
0.0459,Faixa_horaria:TARDE + Mes:FEVEREIRO
0.0486,Faixa_horaria:TARDE + Mes:JANEIRO
0.0387,Faixa_horaria:TARDE + Mes:JULHO
0.0302,Faixa_horaria:TARDE + Mes:JUNHO
0.0302,Faixa_horaria:TARDE + Mes:MAIO
0.0432,Faixa_horaria:TARDE + Mes:MARÇO
0.0392,Faixa_horaria:TARDE + Mes:NOVEMBRO
0.0315,Faixa_horaria:TARDE + Mes:OUTUBRO
0.0396,Faixa_horaria:TARDE + Mes:SETEMBRO
0.0622,Faixa_horaria:TARDE + Nivel_dano:DESTRUÍDA
0.0541,Faixa_horaria:TARDE + Nivel_dano:LEVE
0.0338,Faixa_horaria:TARDE + Nivel_dano:NENHUM
0.3122,Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL
0.0694,Faixa_horaria:TARDE + Tipo:EXCURSÃO DE PISTA
0.0851,Faixa_horaria:TARDE + Tipo:FALHA DO MOTOR EM VOO
0.0689,Faixa_horaria:TARDE + Tipo:PERDA DE CONTROLE EM VOO
0.0590,Faixa_horaria:TARDE + Tipo:PERDA DE CONTROLE NO SOLO
0.0342,Faixa_horaria:TARDE + UF:GO
0.0311,Faixa_horaria:TARDE + UF:MG
0.0374,Faixa_horaria:TARDE + UF:MT
0.0311,Faixa_horaria:TARDE + UF:PA
0.0324,Faixa_horaria:TARDE + UF:PR
0.0360,Faixa_horaria:TARDE + UF:RS
0.0955,Faixa_horaria:TARDE + UF:SP
0.0541,Fase_operacao:CORRIDA APÓS POUSO + Fator:APLICAÇÃO DE COMANDOS
0.0527,Fase_operacao:CORRIDA APÓS POUSO + Fator:JULGAMENTO DE PILOTAGEM
0.0306,Fase_operacao:CORRIDA APÓS POUSO + Fator:SUPERVISÃO GERENCIAL
0.0680,Fase_operacao:CORRIDA APÓS POUSO + Nivel_dano:SUBSTANCIAL
0.0455,Fase_operacao:CORRIDA APÓS POUSO + Tipo:EXCURSÃO DE PISTA
0.0405,Fase_operacao:CORRIDA APÓS POUSO + Tipo:PERDA DE CONTROLE NO SOLO
0.0338,Fase_operacao:CRUZEIRO + Fator:APLICAÇÃO DE COMANDOS
0.0365,Fase_operacao:CRUZEIRO + Fator:ATITUDE
