support,itemsets
0.0333,Fator:POUCA EXPERIÊNCIA DO PILOTO + Nivel_dano:DESTRUÍDA
0.1054,Fator:POUCA EXPERIÊNCIA DO PILOTO + Nivel_dano:SUBSTANCIAL
0.0342,Fator:POUCA EXPERIÊNCIA DO PILOTO + Tipo:PERDA DE CONTROLE EM VOO
0.0455,Fator:POUCA EXPERIÊNCIA DO PILOTO + Tipo:PERDA DE CONTROLE NO SOLO
0.0396,Fator:POUCA EXPERIÊNCIA DO PILOTO + UF:SP
0.0320,Fator:PROCESSO DECISÓRIO + Fator:PROCESSOS ORGANIZACIONAIS
0.0635,Fator:PROCESSO DECISÓRIO + Fator:SUPERVISÃO GERENCIAL
0.0477,Fator:PROCESSO DECISÓRIO + Nivel_dano:DESTRUÍDA
0.1401,Fator:PROCESSO DECISÓRIO + Nivel_dano:SUBSTANCIAL
0.0351,Fator:PROCESSO DECISÓRIO + Tipo:EXCURSÃO DE PISTA
0.0468,Fator:PROCESSO DECISÓRIO + Tipo:PERDA DE CONTROLE EM VOO
0.0324,Fator:PROCESSO DECISÓRIO + UF:SP
0.0572,Fator:PROCESSOS ORGANIZACIONAIS + Fator:SUPERVISÃO GERENCIAL
0.0419,Fator:PROCESSOS ORGANIZACIONAIS + Nivel_dano:SUBSTANCIAL
0.0369,Fator:SISTEMAS DE APOIO + Fator:SUPERVISÃO GERENCIAL
0.0410,Fator:SISTEMAS DE APOIO + Nivel_dano:SUBSTANCIAL
0.0374,Fator:SUPERVISÃO GERENCIAL + Mes:JANEIRO
0.0329,Fator:SUPERVISÃO GERENCIAL + Mes:MARÇO
0.0464,Fator:SUPERVISÃO GERENCIAL + Nivel_dano:DESTRUÍDA
0.0378,Fator:SUPERVISÃO GERENCIAL + Nivel_dano:LEVE
0.2009,Fator:SUPERVISÃO GERENCIAL + Nivel_dano:SUBSTANCIAL
0.0347,Fator:SUPERVISÃO GERENCIAL + Tipo:EXCURSÃO DE PISTA
0.0626,Fator:SUPERVISÃO GERENCIAL + Tipo:FALHA DO MOTOR EM VOO
0.0459,Fator:SUPERVISÃO GERENCIAL + Tipo:PERDA DE CONTROLE EM VOO
0.0365,Fator:SUPERVISÃO GERENCIAL + Tipo:PERDA DE CONTROLE NO SOLO
0.0378,Fator:SUPERVISÃO GERENCIAL + UF:RS
0.0604,Fator:SUPERVISÃO GERENCIAL + UF:SP
0.0559,Mes:ABRIL + Nivel_dano:SUBSTANCIAL
0.0459,Mes:AGOSTO + Nivel_dano:SUBSTANCIAL
0.0667,Mes:DEZEMBRO + Nivel_dano:SUBSTANCIAL
0.0626,Mes:FEVEREIRO + Nivel_dano:SUBSTANCIAL
0.0689,Mes:JANEIRO + Nivel_dano:SUBSTANCIAL
0.0509,Mes:JULHO + Nivel_dano:SUBSTANCIAL
0.0387,Mes:JUNHO + Nivel_dano:SUBSTANCIAL
0.0468,Mes:MAIO + Nivel_dano:SUBSTANCIAL
0.0559,Mes:MARÇO + Nivel_dano:SUBSTANCIAL
0.0536,Mes:NOVEMBRO + Nivel_dano:SUBSTANCIAL
0.0563,Mes:OUTUBRO + Nivel_dano:SUBSTANCIAL
0.0514,Mes:SETEMBRO + Nivel_dano:SUBSTANCIAL
0.0536,Nivel_dano:DESTRUÍDA + Tipo:PERDA DE CONTROLE EM VOO
0.0437,Nivel_dano:SUBSTANCIAL + Tipo:COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
0.0356,Nivel_dano:SUBSTANCIAL + Tipo:COM TREM DE POUSO
0.0941,Nivel_dano:SUBSTANCIAL + Tipo:EXCURSÃO DE PISTA
0.1333,Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO
0.0351,Nivel_dano:SUBSTANCIAL + Tipo:OPERAÇÃO A BAIXA ALTITUDE
0.1032,Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO
0.1018,Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO
0.0311,Nivel_dano:SUBSTANCIAL + UF:BA
0.0464,Nivel_dano:SUBSTANCIAL + UF:GO
0.0514,Nivel_dano:SUBSTANCIAL + UF:MG
0.0622,Nivel_dano:SUBSTANCIAL + UF:MT
0.0383,Nivel_dano:SUBSTANCIAL + UF:PA
0.0505,Nivel_dano:SUBSTANCIAL + UF:PR
0.0680,Nivel_dano:SUBSTANCIAL + UF:RS
0.1315,Nivel_dano:SUBSTANCIAL + UF:SP
0.0509,Tipo:EXCURSÃO DE PISTA + Tipo:PERDA DE CONTROLE NO SOLO
0.0351,Tipo:FALHA DO MOTOR EM VOO + UF:SP
0.0351,Tipo:PERDA DE CONTROLE EM VOO + UF:SP
0.0306,Tipo:PERDA DE CONTROLE NO SOLO + UF:SP
0.0396,Faixa_horaria:MANHÃ + Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM
0.0365,Faixa_horaria:MANHÃ + Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL
0.0356,Faixa_horaria:MANHÃ + Fator:JULGAMENTO DE PILOTAGEM + Fator:PLANEJAMENTO DE VOO
0.0626,Faixa_horaria:MANHÃ + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
0.0378,Faixa_horaria:MANHÃ + Fator:PLANEJAMENTO DE VOO + Nivel_dano:SUBSTANCIAL
0.0374,Faixa_horaria:MANHÃ + Fator:SUPERVISÃO GERENCIAL + Nivel_dano:SUBSTANCIAL
0.0342,Faixa_horaria:NOITE + Fase_operacao:DECOLAGEM + Fator:JULGAMENTO DE PILOTAGEM
0.0441,Faixa_horaria:NOITE + Fase_operacao:DECOLAGEM + Nivel_dano:SUBSTANCIAL
0.0383,Faixa_horaria:NOITE + Fase_operacao:POUSO + Fator:JULGAMENTO DE PILOTAGEM
0.0505,Faixa_horaria:NOITE + Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL
0.0356,Faixa_horaria:NOITE + Fator:APLICAÇÃO DE COMANDOS + Fator:ATITUDE
0.0937,Faixa_horaria:NOITE + Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM
0.0338,Faixa_horaria:NOITE + Fator:APLICAÇÃO DE COMANDOS + Fator:PLANEJAMENTO DE VOO
0.0351,Faixa_horaria:NOITE + Fator:APLICAÇÃO DE COMANDOS + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0333,Faixa_horaria:NOITE + Fator:APLICAÇÃO DE COMANDOS + Fator:PROCESSO DECISÓRIO
0.0360,Faixa_horaria:NOITE + Fator:APLICAÇÃO DE COMANDOS + Fator:SUPERVISÃO GERENCIAL
0.0851,Faixa_horaria:NOITE + Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL
0.0347,Faixa_horaria:NOITE + Fator:APLICAÇÃO DE COMANDOS + Tipo:PERDA DE CONTROLE EM VOO
0.0365,Faixa_horaria:NOITE + Fator:APLICAÇÃO DE COMANDOS + Tipo:PERDA DE CONTROLE NO SOLO
0.0608,Faixa_horaria:NOITE + Fator:ATITUDE + Fator:JULGAMENTO DE PILOTAGEM
0.0338,Faixa_horaria:NOITE + Fator:ATITUDE + Fator:PLANEJAMENTO DE VOO
0.0468,Faixa_horaria:NOITE + Fator:ATITUDE + Fator:PROCESSO DECISÓRIO
0.0477,Faixa_horaria:NOITE + Fator:ATITUDE + Nivel_dano:SUBSTANCIAL
0.0329,Faixa_horaria:NOITE + Fator:INDISCIPLINA DE VOO + Fator:JULGAMENTO DE PILOTAGEM
0.0315,Faixa_horaria:NOITE + Fator:JULGAMENTO DE PILOTAGEM + Fator:PERCEPÇÃO
0.0685,Faixa_horaria:NOITE + Fator:JULGAMENTO DE PILOTAGEM + Fator:PLANEJAMENTO DE VOO
0.0347,Faixa_horaria:NOITE + Fator:JULGAMENTO DE PILOTAGEM + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0644,Faixa_horaria:NOITE + Fator:JULGAMENTO DE PILOTAGEM + Fator:PROCESSO DECISÓRIO
0.0581,Faixa_horaria:NOITE + Fator:JULGAMENTO DE PILOTAGEM + Fator:SUPERVISÃO GERENCIAL
0.0347,Faixa_horaria:NOITE + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:DESTRUÍDA
0.1189,Faixa_horaria:NOITE + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
0.0365,Faixa_horaria:NOITE + Fator:JULGAMENTO DE PILOTAGEM + Tipo:PERDA DE CONTROLE EM VOO
0.0356,Faixa_horaria:NOITE + Fator:JULGAMENTO DE PILOTAGEM + UF:SP
0.0342,Faixa_horaria:NOITE + Fator:MANUTENÇÃO DA AERONAVE + Fator:SUPERVISÃO GERENCIAL
0.0491,Faixa_horaria:NOITE + Fator:MANUTENÇÃO DA AERONAVE + Nivel_dano:SUBSTANCIAL
0.0441,Faixa_horaria:NOITE + Fator:MANUTENÇÃO DA AERONAVE + Tipo:FALHA DO MOTOR EM VOO
0.0315,Faixa_horaria:NOITE + Fator:PERCEPÇÃO + Nivel_dano:SUBSTANCIAL
0.0387,Faixa_horaria:NOITE + Fator:PLANEJAMENTO DE VOO + Fator:SUPERVISÃO GERENCIAL
0.0698,Faixa_horaria:NOITE + Fator:PLANEJAMENTO DE VOO + Nivel_dano:SUBSTANCIAL
0.0369,Faixa_horaria:NOITE + Fator:POUCA EXPERIÊNCIA DO PILOTO + Nivel_dano:SUBSTANCIAL
0.0446,Faixa_horaria:NOITE + Fator:PROCESSO DECISÓRIO + Nivel_dano:SUBSTANCIAL
0.0667,Faixa_horaria:NOITE + Fator:SUPERVISÃO GERENCIAL + Nivel_dano:SUBSTANCIAL
0.0505,Faixa_horaria:NOITE + Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO
0.0351,Faixa_horaria:NOITE + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO
0.0387,Faixa_horaria:NOITE + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO
0.0428,Faixa_horaria:NOITE + Nivel_dano:SUBSTANCIAL + UF:SP
0.0347,Faixa_horaria:TARDE + Fase_operacao:CORRIDA APÓS POUSO + Nivel_dano:SUBSTANCIAL
0.0383,Faixa_horaria:TARDE + Fase_operacao:CRUZEIRO + Nivel_dano:SUBSTANCIAL
0.0459,Faixa_horaria:TARDE + Fase_operacao:DECOLAGEM + Fator:JULGAMENTO DE PILOTAGEM
0.0617,Faixa_horaria:TARDE + Fase_operacao:DECOLAGEM + Nivel_dano:SUBSTANCIAL
0.0450,Faixa_horaria:TARDE + Fase_operacao:POUSO + Fator:APLICAÇÃO DE COMANDOS
0.0523,Faixa_horaria:TARDE + Fase_operacao:POUSO + Fator:JULGAMENTO DE PILOTAGEM
0.0644,Faixa_horaria:TARDE + Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL
0.0514,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Fator:ATITUDE
0.0320,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Fator:INSTRUÇÃO
0.1279,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM
0.0495,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Fator:PLANEJAMENTO DE VOO
0.0500,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0541,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Fator:PROCESSO DECISÓRIO
0.0495,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Fator:SUPERVISÃO GERENCIAL
0.1266,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL
0.0383,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Tipo:EXCURSÃO DE PISTA
0.0482,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Tipo:PERDA DE CONTROLE EM VOO
0.0401,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + Tipo:PERDA DE CONTROLE NO SOLO
0.0473,Faixa_horaria:TARDE + Fator:APLICAÇÃO DE COMANDOS + UF:SP
0.0712,Faixa_horaria:TARDE + Fator:ATITUDE + Fator:JULGAMENTO DE PILOTAGEM
0.0338,Faixa_horaria:TARDE + Fator:ATITUDE + Fator:PERCEPÇÃO
0.0410,Faixa_horaria:TARDE + Fator:ATITUDE + Fator:PLANEJAMENTO DE VOO
0.0568,Faixa_horaria:TARDE + Fator:ATITUDE + Fator:PROCESSO DECISÓRIO
0.0360,Faixa_horaria:TARDE + Fator:ATITUDE + Fator:SUPERVISÃO GERENCIAL
0.0644,Faixa_horaria:TARDE + Fator:ATITUDE + Nivel_dano:SUBSTANCIAL
0.0338,Faixa_horaria:TARDE + Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS + Fator:JULGAMENTO DE PILOTAGEM
0.0320,Faixa_horaria:TARDE + Fator:INDISCIPLINA DE VOO + Fator:JULGAMENTO DE PILOTAGEM
0.0338,Faixa_horaria:TARDE + Fator:INSTRUÇÃO + Fator:JULGAMENTO DE PILOTAGEM
0.0306,Faixa_horaria:TARDE + Fator:INSTRUÇÃO + Fator:SUPERVISÃO GERENCIAL
0.0342,Faixa_horaria:TARDE + Fator:INSTRUÇÃO + Nivel_dano:SUBSTANCIAL
0.0315,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Fator:MANUTENÇÃO DA AERONAVE
0.0459,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Fator:PERCEPÇÃO
0.0991,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Fator:PLANEJAMENTO DE VOO
0.0568,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0829,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Fator:PROCESSO DECISÓRIO
0.0671,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Fator:SUPERVISÃO GERENCIAL
0.0405,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:DESTRUÍDA
0.1730,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
0.0401,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Tipo:EXCURSÃO DE PISTA
0.0311,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Tipo:FALHA DO MOTOR EM VOO
0.0468,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Tipo:PERDA DE CONTROLE EM VOO
0.0369,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + Tipo:PERDA DE CONTROLE NO SOLO
0.0523,Faixa_horaria:TARDE + Fator:JULGAMENTO DE PILOTAGEM + UF:SP
0.0536,Faixa_horaria:TARDE + Fator:MANUTENÇÃO DA AERONAVE + Fator:SUPERVISÃO GERENCIAL
0.0761,Faixa_horaria:TARDE + Fator:MANUTENÇÃO DA AERONAVE + Nivel_dano:SUBSTANCIAL
0.0514,Faixa_horaria:TARDE + Fator:MANUTENÇÃO DA AERONAVE + Tipo:FALHA DO MOTOR EM VOO
0.0351,Faixa_horaria:TARDE + Fator:PERCEPÇÃO + Fator:PROCESSO DECISÓRIO
0.0432,Faixa_horaria:TARDE + Fator:PERCEPÇÃO + Nivel_dano:SUBSTANCIAL
0.0441,Faixa_horaria:TARDE + Fator:PLANEJAMENTO DE VOO + Fator:PROCESSO DECISÓRIO
0.0505,Faixa_horaria:TARDE + Fator:PLANEJAMENTO DE VOO + Fator:SUPERVISÃO GERENCIAL
0.0910,Faixa_horaria:TARDE + Fator:PLANEJAMENTO DE VOO + Nivel_dano:SUBSTANCIAL
0.0306,Faixa_horaria:TARDE + Fator:PLANEJAMENTO DE VOO + UF:SP
0.0527,Faixa_horaria:TARDE + Fator:POUCA EXPERIÊNCIA DO PILOTO + Nivel_dano:SUBSTANCIAL
0.0721,Faixa_horaria:TARDE + Fator:PROCESSO DECISÓRIO + Nivel_dano:SUBSTANCIAL
0.0968,Faixa_horaria:TARDE + Fator:SUPERVISÃO GERENCIAL + Nivel_dano:SUBSTANCIAL
0.0320,Faixa_horaria:TARDE + Fator:SUPERVISÃO GERENCIAL + UF:SP
0.0302,Faixa_horaria:TARDE + Mes:FEVEREIRO + Nivel_dano:SUBSTANCIAL
0.0311,Faixa_horaria:TARDE + Mes:JANEIRO + Nivel_dano:SUBSTANCIAL
0.0514,Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:EXCURSÃO DE PISTA
0.0626,Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO
0.0459,Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO
0.0459,Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO
0.0703,Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + UF:SP
0.0360,Fase_operacao:CORRIDA APÓS POUSO + Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM
0.0365,Fase_operacao:CORRIDA APÓS POUSO + Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL
0.0369,Fase_operacao:CORRIDA APÓS POUSO + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
0.0306,Fase_operacao:CORRIDA APÓS POUSO + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO
0.0315,Fase_operacao:CRUZEIRO + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
0.0311,Fase_operacao:CRUZEIRO + Fator:MANUTENÇÃO DA AERONAVE + Nivel_dano:SUBSTANCIAL
0.0320,Fase_operacao:CRUZEIRO + Fator:MANUTENÇÃO DA AERONAVE + Tipo:FALHA DO MOTOR EM VOO
0.0342,Fase_operacao:CRUZEIRO + Nivel_dano:SUBSTANCIAL + Tipo:FALHA DO MOTOR EM VOO
0.0495,Fase_operacao:DECOLAGEM + Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM
0.0459,Fase_operacao:DECOLAGEM + Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL
0.0527,Fase_operacao:DECOLAGEM + Fator:JULGAMENTO DE PILOTAGEM + Fator:PLANEJAMENTO DE VOO
0.0365,Fase_operacao:DECOLAGEM + Fator:JULGAMENTO DE PILOTAGEM + Fator:PROCESSO DECISÓRIO
0.0324,Fase_operacao:DECOLAGEM + Fator:JULGAMENTO DE PILOTAGEM + Fator:SUPERVISÃO GERENCIAL
0.0811,Fase_operacao:DECOLAGEM + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
0.0572,Fase_operacao:DECOLAGEM + Fator:PLANEJAMENTO DE VOO + Nivel_dano:SUBSTANCIAL
0.0356,Fase_operacao:DECOLAGEM + Fator:PROCESSO DECISÓRIO + Nivel_dano:SUBSTANCIAL
0.0482,Fase_operacao:DECOLAGEM + Fator:SUPERVISÃO GERENCIAL + Nivel_dano:SUBSTANCIAL
0.0320,Fase_operacao:MANOBRA + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
0.0680,Fase_operacao:POUSO + Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM
0.0626,Fase_operacao:POUSO + Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL
0.0311,Fase_operacao:POUSO + Fator:APLICAÇÃO DE COMANDOS + Tipo:PERDA DE CONTROLE NO SOLO
0.0311,Fase_operacao:POUSO + Fator:ATITUDE + Fator:JULGAMENTO DE PILOTAGEM
0.0302,Fase_operacao:POUSO + Fator:ATITUDE + Nivel_dano:SUBSTANCIAL
0.0338,Fase_operacao:POUSO + Fator:JULGAMENTO DE PILOTAGEM + Fator:PLANEJAMENTO DE VOO
0.0365,Fase_operacao:POUSO + Fator:JULGAMENTO DE PILOTAGEM + Fator:PROCESSO DECISÓRIO
0.0806,Fase_operacao:POUSO + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
0.0315,Fase_operacao:POUSO + Fator:PLANEJAMENTO DE VOO + Nivel_dano:SUBSTANCIAL
0.0311,Fase_operacao:POUSO + Fator:PROCESSO DECISÓRIO + Nivel_dano:SUBSTANCIAL
0.0315,Fase_operacao:POUSO + Fator:SUPERVISÃO GERENCIAL + Nivel_dano:SUBSTANCIAL
0.0302,Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL + Tipo:EXCURSÃO DE PISTA
0.0315,Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO
0.0838,Fator:APLICAÇÃO DE COMANDOS + Fator:ATITUDE + Fator:JULGAMENTO DE PILOTAGEM
0.0333,Fator:APLICAÇÃO DE COMANDOS + Fator:ATITUDE + Fator:PERCEPÇÃO
0.0351,Fator:APLICAÇÃO DE COMANDOS + Fator:ATITUDE + Fator:PLANEJAMENTO DE VOO
0.0595,Fator:APLICAÇÃO DE COMANDOS + Fator:ATITUDE + Fator:PROCESSO DECISÓRIO
0.0347,Fator:APLICAÇÃO DE COMANDOS + Fator:ATITUDE + Fator:SUPERVISÃO GERENCIAL
0.0635,Fator:APLICAÇÃO DE COMANDOS + Fator:ATITUDE + Nivel_dano:SUBSTANCIAL
0.0360,Fator:APLICAÇÃO DE COMANDOS + Fator:ATITUDE + Tipo:PERDA DE CONTROLE EM VOO
0.0315,Fator:APLICAÇÃO DE COMANDOS + Fator:CAPACITAÇÃO E TREINAMENTO + Fator:JULGAMENTO DE PILOTAGEM
0.0374,Fator:APLICAÇÃO DE COMANDOS + Fator:CONDIÇÕES METEOROLÓGICAS ADVERSAS + Fator:JULGAMENTO DE PILOTAGEM
0.0428,Fator:APLICAÇÃO DE COMANDOS + Fator:COORDENAÇÃO DE CABINE + Fator:JULGAMENTO DE PILOTAGEM
0.0311,Fator:APLICAÇÃO DE COMANDOS + Fator:COORDENAÇÃO DE CABINE + Nivel_dano:SUBSTANCIAL
0.0473,Fator:APLICAÇÃO DE COMANDOS + Fator:INSTRUÇÃO + Fator:JULGAMENTO DE PILOTAGEM
0.0315,Fator:APLICAÇÃO DE COMANDOS + Fator:INSTRUÇÃO + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0396,Fator:APLICAÇÃO DE COMANDOS + Fator:INSTRUÇÃO + Fator:SUPERVISÃO GERENCIAL
0.0410,Fator:APLICAÇÃO DE COMANDOS + Fator:INSTRUÇÃO + Nivel_dano:SUBSTANCIAL
0.0302,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Fator:MANUTENÇÃO DA AERONAVE
0.0541,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Fator:PERCEPÇÃO
0.0784,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Fator:PLANEJAMENTO DE VOO
0.0662,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Fator:POUCA EXPERIÊNCIA DO PILOTO
0.0914,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Fator:PROCESSO DECISÓRIO
0.0698,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Fator:SUPERVISÃO GERENCIAL
0.0450,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:DESTRUÍDA
0.1856,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
0.0482,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Tipo:EXCURSÃO DE PISTA
0.0766,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Tipo:PERDA DE CONTROLE EM VOO
0.0563,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + Tipo:PERDA DE CONTROLE NO SOLO
0.0617,Fator:APLICAÇÃO DE COMANDOS + Fator:JULGAMENTO DE PILOTAGEM + UF:SP
0.0369,Fator:APLICAÇÃO DE COMANDOS + Fator:PERCEPÇÃO + Fator:PROCESSO DECISÓRIO
0.0414,Fator:APLICAÇÃO DE COMANDOS + Fator:PERCEPÇÃO + Nivel_dano:SUBSTANCIAL
0.0320,Fator:APLICAÇÃO DE COMANDOS + Fator:PLANEJAMENTO DE VOO + Fator:PROCESSO DECISÓRIO
0.0360,Fator:APLICAÇÃO DE COMANDOS + Fator:PLANEJAMENTO DE VOO + Fator:SUPERVISÃO GERENCIAL
0.0680,Fator:APLICAÇÃO DE COMANDOS + Fator:PLANEJAMENTO DE VOO + Nivel_dano:SUBSTANCIAL
0.0311,Fator:APLICAÇÃO DE COMANDOS + Fator:PLANEJAMENTO DE VOO + Tipo:PERDA DE CONTROLE EM VOO
0.0342,Fator:APLICAÇÃO DE COMANDOS + Fator:POUCA EXPERIÊNCIA DO PILOTO + Fator:SUPERVISÃO GERENCIAL
0.0712,Fator:APLICAÇÃO DE COMANDOS + Fator:POUCA EXPERIÊNCIA DO PILOTO + Nivel_dano:SUBSTANCIAL
0.0387,Fator:APLICAÇÃO DE COMANDOS + Fator:POUCA EXPERIÊNCIA DO PILOTO + Tipo:PERDA DE CONTROLE NO SOLO
0.0311,Fator:APLICAÇÃO DE COMANDOS + Fator:POUCA EXPERIÊNCIA DO PILOTO + UF:SP
0.0698,Fator:APLICAÇÃO DE COMANDOS + Fator:PROCESSO DECISÓRIO + Nivel_dano:SUBSTANCIAL
0.0329,Fator:APLICAÇÃO DE COMANDOS + Fator:PROCESSO DECISÓRIO + Tipo:PERDA DE CONTROLE EM VOO
0.0662,Fator:APLICAÇÃO DE COMANDOS + Fator:SUPERVISÃO GERENCIAL + Nivel_dano:SUBSTANCIAL
0.0302,Fator:APLICAÇÃO DE COMANDOS + Fator:SUPERVISÃO GERENCIAL + Tipo:PERDA DE CONTROLE EM VOO
0.0329,Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:DESTRUÍDA + Tipo:PERDA DE CONTROLE EM VOO
0.0491,Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL + Tipo:EXCURSÃO DE PISTA
0.0667,Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO
0.0671,Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO
0.0608,Fator:APLICAÇÃO DE COMANDOS + Nivel_dano:SUBSTANCIAL + UF:SP
0.0360,Fator:APLICAÇÃO DE COMANDOS + Tipo:EXCURSÃO DE PISTA + Tipo:PERDA DE CONTROLE NO SOLO
0.0306,Fator:ATENÇÃO + Fator:ATITUDE + Fator:PERCEPÇÃO
0.0315,Fator:ATENÇÃO + Fator:JULGAMENTO DE PILOTAGEM + Fator:PERCEPÇÃO
0.0324,Fator:ATENÇÃO + Fator:JULGAMENTO DE PILOTAGEM + Nivel_dano:SUBSTANCIAL
