antecedents,consequents,support,confidence,lift
UF:SP,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0396,0.2115,1.3266
Nivel_dano:DESTRUÍDA,Fator:PERCEPÇÃO,0.0311,0.2066,1.3255
Tipo:PERDA DE CONTROLE EM VOO,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0342,0.2094,1.3130
Tipo:PERDA DE CONTROLE EM VOO,Fator:ATITUDE,0.0509,0.3113,1.3064
Faixa_horaria:TARDE + Tipo:PERDA DE CONTROLE EM VOO,Fator:JULGAMENTO DE PILOTAGEM,0.0468,0.6797,1.3031
Fase_operacao:POUSO,Fator:POUCA EXPERIÊNCIA DO PILOTO,0.0374,0.2060,1.2916
Tipo:PERDA DE CONTROLE EM VOO,Fator:PROCESSO DECISÓRIO,0.0468,0.2865,1.2901
Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO,Fator:JULGAMENTO DE PILOTAGEM,0.0694,0.6725,1.2892
Fase_operacao:DECOLAGEM,Fator:PLANEJAMENTO DE VOO,0.0689,0.3723,1.2873
Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL,Fator:APLICAÇÃO DE COMANDOS,0.0626,0.4760,1.2856
Nivel_dano:DESTRUÍDA,Fator:PLANEJAMENTO DE VOO,0.0559,0.3713,1.2838
UF:PR,Fator:APLICAÇÃO DE COMANDOS,0.0347,0.4753,1.2837
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO,Fator:JULGAMENTO DE PILOTAGEM,0.0306,0.6667,1.2781
Nivel_dano:LEVE,Fator:MANUTENÇÃO DA AERONAVE,0.0378,0.3111,1.2696
Fase_operacao:POUSO,Fator:APLICAÇÃO DE COMANDOS,0.0847,0.4665,1.2599
Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE NO SOLO,Fator:JULGAMENTO DE PILOTAGEM,0.0667,0.6549,1.2554
Nivel_dano:SUBSTANCIAL + Tipo:PERDA DE CONTROLE EM VOO,Fator:PLANEJAMENTO DE VOO,0.0374,0.3624,1.2533
Tipo:PERDA DE CONTROLE EM VOO,Fator:JULGAMENTO DE PILOTAGEM,0.1068,0.6529,1.2517
Faixa_horaria:TARDE + Nivel_dano:DESTRUÍDA,Fator:JULGAMENTO DE PILOTAGEM,0.0405,0.6522,1.2503
Nivel_dano:SUBSTANCIAL + UF:MT,Fator:JULGAMENTO DE PILOTAGEM,0.0405,0.6522,1.2503
Nivel_dano:SUBSTANCIAL + UF:SP,Fator:APLICAÇÃO DE COMANDOS,0.0608,0.4623,1.2486
Nivel_dano:SUBSTANCIAL + Tipo:EXCURSÃO DE PISTA,Fator:JULGAMENTO DE PILOTAGEM,0.0613,0.6507,1.2475
Tipo:EXCURSÃO DE PISTA,Fator:PROCESSO DECISÓRIO,0.0351,0.2727,1.2281
UF:SP,Fator:APLICAÇÃO DE COMANDOS,0.0851,0.4543,1.2270
Mes:JULHO,Fator:APLICAÇÃO DE COMANDOS,0.0365,0.4525,1.2221
Mes:MARÇO,Fator:SUPERVISÃO GERENCIAL,0.0329,0.3724,1.2177
Nivel_dano:DESTRUÍDA,Fator:JULGAMENTO DE PILOTAGEM,0.0950,0.6317,1.2111
Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL + Tipo:EXCURSÃO DE PISTA,Fator:JULGAMENTO DE PILOTAGEM,0.0324,0.6316,1.2108
Tipo:PERDA DE CONTROLE EM VOO,Fator:PLANEJAMENTO DE VOO,0.0572,0.3499,1.2098
Nivel_dano:DESTRUÍDA + Tipo:PERDA DE CONTROLE EM VOO,Fator:JULGAMENTO DE PILOTAGEM,0.0338,0.6303,1.2083
Tipo:EXCURSÃO DE PISTA + Tipo:PERDA DE CONTROLE NO SOLO,Fator:JULGAMENTO DE PILOTAGEM,0.0320,0.6283,1.2045
UF:MT,Fator:JULGAMENTO DE PILOTAGEM,0.0536,0.6263,1.2007
Faixa_horaria:TARDE + Tipo:PERDA DE CONTROLE NO SOLO,Fator:JULGAMENTO DE PILOTAGEM,0.0369,0.6260,1.2000
Fase_operacao:DECOLAGEM + Nivel_dano:SUBSTANCIAL,Fator:PROCESSO DECISÓRIO,0.0356,0.2625,1.1819
Nivel_dano:SUBSTANCIAL + UF:RS,Fator:JULGAMENTO DE PILOTAGEM,0.0419,0.6159,1.1807
Mes:NOVEMBRO,Fator:APLICAÇÃO DE COMANDOS,0.0365,0.4355,1.1761
Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0806,0.6130,1.1752
Faixa_horaria:NOITE + Nivel_dano:DESTRUÍDA,Fator:JULGAMENTO DE PILOTAGEM,0.0347,0.6111,1.1716
Faixa_horaria:NOITE + Tipo:PERDA DE CONTROLE EM VOO,Fator:JULGAMENTO DE PILOTAGEM,0.0365,0.6090,1.1676
Mes:AGOSTO,Fator:APLICAÇÃO DE COMANDOS,0.0324,0.4311,1.1644
Tipo:PERDA DE CONTROLE NO SOLO,Fator:JULGAMENTO DE PILOTAGEM,0.0793,0.6069,1.1635
Fase_operacao:DECOLAGEM + Nivel_dano:SUBSTANCIAL,Fator:SUPERVISÃO GERENCIAL,0.0482,0.3555,1.1623
Tipo:EXCURSÃO DE PISTA,Fator:JULGAMENTO DE PILOTAGEM,0.0779,0.6049,1.1596
Faixa_horaria:MANHÃ + Nivel_dano:SUBSTANCIAL,Fator:PLANEJAMENTO DE VOO,0.0378,0.3320,1.1481
Faixa_horaria:NOITE + Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0302,0.5982,1.1468
Fase_operacao:DECOLAGEM + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0811,0.5980,1.1464
Nivel_dano:SUBSTANCIAL + UF:SP,Fator:SUPERVISÃO GERENCIAL,0.0459,0.3493,1.1421
Mes:JANEIRO,Fator:SUPERVISÃO GERENCIAL,0.0374,0.3487,1.1402
Faixa_horaria:TARDE + Fase_operacao:POUSO + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0383,0.5944,1.1395
Fase_operacao:DECOLAGEM,Fator:PROCESSO DECISÓRIO,0.0468,0.2530,1.1395
Fase_operacao:POUSO,Fator:JULGAMENTO DE PILOTAGEM,0.1077,0.5931,1.1369
Faixa_horaria:TARDE + Fase_operacao:POUSO,Fator:JULGAMENTO DE PILOTAGEM,0.0523,0.5918,1.1346
Faixa_horaria:TARDE + Fase_operacao:DECOLAGEM + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0365,0.5912,1.1335
Fase_operacao:CRUZEIRO,Fator:ATITUDE,0.0365,0.2700,1.1331
Nivel_dano:SUBSTANCIAL + Tipo:EXCURSÃO DE PISTA,Fator:PLANEJAMENTO DE VOO,0.0306,0.3254,1.1251
Mes:SETEMBRO,Fator:APLICAÇÃO DE COMANDOS,0.0329,0.4148,1.1202
Fase_operacao:MANOBRA,Fator:APLICAÇÃO DE COMANDOS,0.0338,0.4144,1.1191
Mes:FEVEREIRO + Nivel_dano:SUBSTANCIAL,Fator:JULGAMENTO DE PILOTAGEM,0.0365,0.5827,1.1172
UF:RS,Fator:APLICAÇÃO DE COMANDOS,0.0365,0.4133,1.1161
Nivel_dano:SUBSTANCIAL + UF:SP,Fator:JULGAMENTO DE PILOTAGEM,0.0761,0.5788,1.1096
Faixa_horaria:TARDE + UF:SP,Fator:PLANEJAMENTO DE VOO,0.0306,0.3208,1.1092
